A0A0A7EPL0	AT1G08910.1
F4HSJ2	AT1G13635.2
F4HSN5	AT1G13990.3
F4HSQ2	AT1G20150.1
F4HSR2	AT1G20240.1
F4HSR5	AT1G20280.1
F4HSR6	AT1G20290.1
F4HSS6	AT1G20400.1
F4HSS7	AT1G20405.1
F4HSS8	AT1G20410.1
F4HSU3	AT1G20550.1
F4HSW0	AT1G27385.4
F4HSW8	AT1G27430.1
F4HSX9	AT1G27500.2
F4HSY5	AT1G27550.1
F4HSY6	AT1G27565.1
F4HSY7	AT1G27570.1
F4HSY9	AT1G27580.1
F4HSZ1	AT1G27595.1
F4HT02	AT1G33820.1
F4HT07	AT1G33860.2
F4HT21	AT1G33970.5
F4HT36	AT1G34046.1
F4HT41	AT1G34065.1
F4HT43	AT1G34095.1
F4HT49	AT1G34140.1
F4HT76	AT1G47350.1
F4HT77	AT1G47370.1
F4HT79	AT1G47389.1
F4HT92	AT1G47495.1
F4HTB0	AT1G53705.2
F4HTB2	AT1G53708.1
F4HTE0	AT1G53900.3
F4HTE6	AT1G53900.2
F4HTF3	AT1G53935.1
F4HTG1	AT1G61140.1
F4HTH8	AT1G61210.1
F4HTI1	AT1G61230.1
F4HTI9	AT1G61260.1
F4HTL4	AT1G61450.1
F4HTL8	AT1G67460.2
F4HTM3	AT1G67490.1
F4HTN4	AT1G67570.1
F4HTP2	AT1G67630.1
F4HTP8	AT1G67660.1
F4HTQ1	AT1G67690.1
F4HTR3	AT1G67780.2
F4HTS4	AT1G73970.1
F4HTT6	AT1G74070.1
F4HTT8	AT1G74088.2
F4HTV1	AT1G74150.1
F4HTV4	AT1G74180.1
F4HTV6	AT1G74200.3
F4HTX0	AT1G74330.1
F4HTY0	AT1G80500.2
F4HTY4	AT1G80540.1
F4HU51	AT1G01710.1
F4HU55	AT1G01740.2
F4HU58	AT1G01760.3
F4HU79	AT1G01920.1
F4HUC4	AT1G08065.1
F4HUD6	AT1G08125.2
F4HUE2	AT1G08165.1
F4HUE8	AT1G14048.1
F4HUG8	AT1G14205.1
F4HUG9	AT1G14210.1
F4HUI0	AT1G14270.1
F4HUK6	AT1G20560.1
F4HUM4	AT1G20680.1
F4HUN5	AT1G20730.1
F4HUN6	AT1G20735.1
F4HUN7	AT1G20740.1
F4HUN8	AT1G20750.1
F4HUQ5	AT1G20880.3
F4HUS5	AT1G27760.3
F4HUV0	AT1G28000.1
F4HUW0	AT1G28090.1
F4HUX0	AT1G34220.1
F4HUX8	AT1G34315.1
F4HV06	AT1G34550.1
F4HV07	AT1G34560.1
F4HV08	AT1G34570.1
F4HV09	AT1G34575.1
F4HV22	AT1G47660.1
F4HV35	AT1G47770.1
F4HV36	AT1G47780.1
F4HV37	AT1G47786.1
F4HV48	AT1G47885.1
F4HV53	AT1G47920.1
F4HV54	AT1G47940.1
F4HV65	AT1G54070.1
F4HV88	AT1G54217.8
F4HV91	AT1G54230.1
F4HV94	AT1G54260.1
F4HV99	AT1G54300.1
F4HVA0	AT1G54310.2
F4HVA6	AT1G54360.6
F4HVB3	AT1G61475.1
F4HVG8	AT1G67840.1
F4HVH9	AT1G67890.1
F4HVJ0	AT1G67950.3
F4HVJ3	AT1G67960.1
F4HVK3	AT1G68030.1
F4HVM3	AT1G68170.1
F4HVM4	AT1G68180.1
F4HVS0	AT1G74770.1
F4HVS6	AT1G74830.1
F4HVT8	AT1G80970.2
F4HVV7	AT1G02080.2
F4HVW5	AT1G02120.1
F4HVX7	AT1G02190.1
F4HVY0	AT1G02205.2
F4HVZ1	AT1G02300.1
F4HVZ5	AT1G02330.1
F4HVZ8	AT1G02350.1
F4HW02	AT1G08230.2
F4HW04	AT1G08260.1
F4HW05	AT1G08270.2
F4HW17	AT1G08350.3
F4HW51	AT1G08600.4
F4HW65	AT1G14460.1
F4HW79	AT1G14560.1
F4HW92	AT1G14640.2
F4HW93	AT1G14642.1
F4HWA5	AT1G14688.1
F4HWB0	AT1G14710.2
F4HWB6	AT1G20925.1
F4HWC3	AT1G20970.1
F4HWC5	AT1G20990.1
F4HWD0	AT1G21060.1
F4HWD5	AT1G21080.3
F4HWE6	AT1G21170.1
F4HWF9	AT1G21320.1
F4HWG0	AT1G21323.1
F4HWK0	AT1G28305.1
F4HWL3	AT1G28340.1
F4HWL4	AT1G28350.2
F4HWP8	AT1G34910.1
F4HWQ7	AT1G35170.1
F4HWQ8	AT1G47960.1
F4HWR0	AT1G47980.1
F4HWT1	AT1G48145.1
F4HWT6	AT1G48180.2
F4HWT7	AT1G48190.1
F4HWU0	AT1G48210.7
F4HWW7	AT1G54400.1
F4HWY6	AT1G54560.1
F4HWZ0	AT1G54590.1
F4HWZ4	AT1G54620.1
F4HX04	AT1G54700.1
F4HX06	AT1G54720.1
F4HX10	AT1G54740.1
F4HX15	AT1G61850.2
F4HX16	AT1G61860.1
F4HX45	AT1G62130.1
F4HX47	AT1G62160.1
F4HX80	AT1G68280.1
F4HXA7	AT1G68526.1
F4HXC5	AT1G74875.1
F4HXG1	AT1G75160.1
F4HXH4	AT1G75230.2
F4HXI4	AT1G02430.1
F4HXI5	AT1G02440.1
F4HXI8	AT1G02470.1
F4HXK1	AT1G02575.1
F4HXK4	AT1G02610.1
F4HXL0	AT1G02660.1
F4HXM8	AT1G02813.1
F4HXP9	AT1G08730.1
F4HXQ7	AT1G08800.4
F4HXU3	AT1G14760.1
F4HXU8	AT1G14800.1
F4HXV6	AT1G14850.1
F4HXW0	AT1G14890.1
F4HXW9	AT1G14970.1
F4HXY7	AT1G15110.4
F4HXZ1	AT1G15130.1
F4HXZ8	AT1G21370.2
F4HY09	AT1G21470.2
F4HY10	AT1G21480.1
F4HY32	AT1G21630.2
F4HY55	AT1G28410.2
F4HY56	AT1G28420.1
F4HY61	AT1G28470.1
F4HY84	AT1G28630.4
F4HYA7	AT1G35220.3
F4HYB6	AT1G35320.2
F4HYC4	AT1G35365.1
F4HYC5	AT1G35375.1
F4HYC6	AT1G35400.1
F4HYC8	AT1G35420.2
F4HYD7	AT1G35470.2
F4HYE7	AT1G48390.3
F4HYF3	AT1G48420.3
F4HYF4	AT1G48430.1
F4HYG2	AT1G48490.3
F4HYH4	AT1G48540.1
F4HYH6	AT1G48550.1
F4HYJ7	AT1G48650.1
F4HYK7	AT1G54820.1
F4HYL8	AT1G54920.3
F4HYM3	AT1G54950.1
F4HYN6	AT1G55050.2
F4HYQ5	AT1G55175.1
F4HYR3	AT1G62320.5
F4HYR4	AT1G62330.1
F4HYR6	AT1G62340.1
F4HYS3	AT1G62410.1
F4HYS9	AT1G62450.1
F4HYU6	AT1G62610.4
F4HYV4	AT1G62690.2
F4HYV5	AT1G62700.2
F4HYZ1	AT1G68845.1
F4HZ48	AT1G75530.1
F4HZ54	AT1G75590.1
F4HZ82	AT1G02890.1
F4HZ96	AT1G02965.1
F4HZ99	AT1G02990.6
F4HZB2	AT1G03060.1
F4HZB5	AT1G03080.3
F4HZB9	AT1G03103.1
F4HZC3	AT1G08990.1
F4HZC9	AT1G09040.1
F4HZD1	AT1G09060.4
F4HZF0	AT1G09170.5
F4HZF4	AT1G09195.8
F4HZG9	AT1G09300.1
F4HZH7	AT1G09370.1
F4HZH9	AT1G15160.1
F4HZI0	AT1G15165.1
F4HZJ6	AT1G15240.2
F4HZK4	AT1G15290.1
F4HZQ2	AT1G21864.1
F4HZQ3	AT1G21866.1
F4HZQ7	AT1G21890.1
F4HZR4	AT1G21940.1
F4HZS8	AT1G22060.2
F4HZT2	AT1G22080.2
F4HZT7	AT1G22120.1
F4HZU9	AT1G29025.1
F4HZV5	AT1G29041.1
F4HZW2	AT1G29110.1
F4HZX5	AT1G29180.1
F4HZX7	AT1G29200.2
F4HZY1	AT1G29220.2
F4HZZ0	AT1G35610.1
F4HZZ1	AT1G35614.1
F4HZZ2	AT1G35617.1
F4HZZ4	AT1G35625.1
F4HZZ5	AT1G35630.1
F4HZZ6	AT1G35660.1
F4I004	AT1G35820.1
F4I037	AT1G48880.1
F4I045	AT1G48950.1
F4I048	AT1G48970.1
F4I057	AT1G49015.1
F4I065	AT1G49100.1
F4I082	AT1G55260.1
F4I096	AT1G55325.1
F4I0B5	AT1G55450.2
F4I0E9	AT1G62920.1
F4I0F1	AT1G62935.1
F4I0I6	AT1G69030.1
F4I0J7	AT1G69150.1
F4I0K2	AT1G69200.1
F4I0K9	AT1G69240.1
F4I0M0	AT1G69325.1
F4I0M4	AT1G69360.1
F4I0N3	AT1G75720.2
F4I0P8	AT1G75850.1
F4I0U4	AT1G03240.1
F4I0W7	AT1G03440.1
F4I0Z0	AT1G09440.2
F4I0Z2	AT1G09460.1
F4I0Z5	AT1G09480.1
F4I0Z6	AT1G09483.1
F4I107	AT1G09550.1
F4I111	AT1G09575.2
F4I114	AT1G09600.1
F4I116	AT1G09620.1
F4I129	AT1G09710.2
F4I131	AT1G09720.1
F4I169	AT1G15770.1
F4I171	AT1G15780.1
F4I177	AT1G15825.1
F4I179	AT1G15840.1
F4I181	AT1G15860.3
F4I1A6	AT1G22210.1
F4I1B7	AT1G22290.2
F4I1E4	AT1G22510.2
F4I1F3	AT1G29270.1
F4I1G1	AT1G29350.1
F4I1G2	AT1G29355.1
F4I1G5	AT1G29390.1
F4I1H5	AT1G29440.1
F4I1I4	AT1G29510.1
F4I1K8	AT1G36095.1
F4I1L3	AT1G36180.1
F4I1M5	AT1G36380.1
F4I1M8	AT1G36510.1
F4I1N3	AT1G49150.1
F4I1N8	AT1G49180.1
F4I1P7	AT1G49250.1
F4I1R5	AT1G49420.1
F4I1S7	AT1G49540.1
F4I1T7	AT1G55540.2
F4I1T8	AT1G55546.1
F4I1T9	AT1G55550.1
F4I1X0	AT1G55790.1
F4I1X2	AT1G55800.1
F4I1X8	AT1G55830.2
F4I1Y9	AT1G63105.1
F4I1Z0	AT1G63110.1
F4I201	AT1G63190.1
F4I214	AT1G63260.6
F4I221	AT1G63320.1
F4I232	AT1G63420.1
F4I240	AT1G63490.1
F4I241	AT1G69400.1
F4I248	AT1G69450.2
F4I261	AT1G69526.2
F4I270	AT1G69550.1
F4I274	AT1G69580.1
F4I2A0	AT1G76140.1
F4I2E4	AT1G76460.1
F4I2E5	AT1G76470.1
F4I2E7	AT1G76480.2
F4I2G0	AT1G03660.2
F4I2G1	AT1G03670.1
F4I2G3	AT1G03687.1
F4I2H2	AT1G03750.1
F4I2H7	AT1G03780.3
F4I2I5	AT1G03830.2
F4I2J8	AT1G03910.2
F4I2K0	AT1G03920.3
F4I2K8	AT1G09794.1
F4I2M8	AT1G09910.1
F4I2N3	AT1G09935.1
F4I2N7	AT1G09970.2
F4I2P2	AT1G10000.1
F4I2Q7	AT1G10100.1
F4I2R3	AT1G10155.1
F4I2S4	AT1G16020.1
F4I2U8	AT1G16230.1
F4I2X9	AT1G22650.1
F4I2Y3	AT1G22670.1
F4I2Z2	AT1G22720.1
F4I312	AT1G22860.1
F4I313	AT1G22870.1
F4I316	AT1G22882.1
F4I321	AT1G22910.3
F4I340	AT1G29760.1
F4I348	AT1G29820.2
F4I350	AT1G29830.3
F4I353	AT1G29840.1
F4I366	AT1G29940.1
F4I386	AT1G36580.1
F4I389	AT1G36675.1
F4I392	AT1G36745.1
F4I394	AT1G36920.3
F4I396	AT1G36925.1
F4I397	AT1G36940.2
F4I3A0	AT1G36950.1
F4I3A1	AT1G36960.1
F4I3A2	AT1G36970.1
F4I3A5	AT1G37000.1
F4I3A7	AT1G37010.1
F4I3A8	AT1G37020.1
F4I3B3	AT1G49600.1
F4I3C6	AT1G49700.1
F4I3E1	AT1G49790.2
F4I3E6	AT1G49830.1
F4I3G0	AT1G49940.1
F4I3I1	AT1G55980.1
F4I3I2	AT1G55990.1
F4I3J0	AT1G56050.1
F4I3J4	AT1G56085.1
F4I3J6	AT1G56100.1
F4I3K0	AT1G56120.1
F4I3K4	AT1G56145.2
F4I3M3	AT1G63500.1
F4I3N7	AT1G63630.1
F4I3P9	AT1G63680.3
F4I3S8	AT1G63860.1
F4I3V3	AT1G69910.1
F4I3V6	AT1G69935.1
F4I3X3	AT1G70100.6
F4I3X8	AT1G70120.1
F4I3Y1	AT1G70150.1
F4I3Z5	AT1G76630.2
F4I407	AT1G76705.1
F4I420	AT1G76810.1
F4I421	AT1G76720.1
F4I423	AT1G76840.1
F4I431	AT1G76910.1
F4I443	AT1G04020.1
F4I444	AT1G04030.2
F4I456	AT1G04130.1
F4I458	AT1G04140.2
F4I460	AT1G04160.1
F4I499	AT1G10220.2
F4I4A6	AT1G10300.3
F4I4B6	AT1G10385.1
F4I4E1	AT1G10585.1
F4I4F2	AT1G16440.1
F4I4G1	AT1G16480.1
F4I4I3	AT1G16680.1
F4I4I6	AT1G16705.2
F4I4K5	AT1G23010.1
F4I4K7	AT1G23020.2
F4I4K9	AT1G23037.1
F4I4N4	AT1G23170.2
F4I4P3	AT1G23230.1
F4I4P8	AT1G23250.1
F4I4Q1	AT1G23280.1
F4I4Q3	AT1G23300.1
F4I4Q9	AT1G30070.2
F4I4R0	AT1G30080.1
F4I4V4	AT1G30455.1
F4I4W2	AT1G37150.2
F4I4Y6	AT1G50140.4
F4I4Z0	AT1G50190.1
F4I507	AT1G50360.1
F4I526	AT1G56310.2
F4I532	AT1G56350.1
F4I534	AT1G56380.2
F4I540	AT1G56415.1
F4I543	AT1G56423.1
F4I552	AT1G56520.2
F4I554	AT1G56530.1
F4I562	AT1G56590.1
F4I568	AT1G56630.1
F4I594	AT1G64070.1
F4I5A3	AT1G64110.4
F4I5A5	AT1G64130.1
F4I5B1	AT1G64180.1
F4I5D2	AT1G70220.1
F4I5D4	AT1G70250.1
F4I5D5	AT1G70260.1
F4I5D7	AT1G70280.2
F4I5F1	AT1G70400.3
F4I5G9	AT1G70505.1
F4I5H4	AT1G70550.1
F4I5I4	AT1G76965.1
F4I5J7	AT1G77020.1
F4I5L3	AT1G77150.1
F4I5M8	AT1G77280.2
F4I5N6	AT1G04450.1
F4I5P7	AT1G04540.1
F4I5Q2	AT1G04570.1
F4I5Q5	AT1G04590.2
F4I5Q6	AT1G04600.1
F4I5Q9	AT1G04625.1
F4I5R5	AT1G04650.1
F4I5S1	AT1G04700.2
F4I5S3	AT1G04730.1
F4I5T4	AT1G04830.2
F4I5U6	AT1G10640.1
F4I600	AT1G16820.1
F4I629	AT1G17010.1
F4I650	AT1G17150.1
F4I671	AT1G23450.1
F4I672	AT1G23460.1
F4I679	AT1G23510.1
F4I690	AT1G23580.1
F4I695	AT1G23610.1
F4I697	AT1G23650.1
F4I698	AT1G23660.1
F4I6B2	AT1G30470.1
F4I6D2	AT1G30550.2
F4I6E4	AT1G30640.2
F4I6E6	AT1G30660.1
F4I6G4	AT1G30810.3
F4I6G9	AT1G30820.1
F4I6H2	AT1G38790.1
F4I6H4	AT1G40083.1
F4I6H5	AT1G40087.1
F4I6H6	AT1G40104.1
F4I6H7	AT1G40129.1
F4I6I6	AT1G50520.1
F4I6L1	AT1G50732.1
F4I6L3	AT1G50750.1
F4I6M1	AT1G50840.1
F4I6M4	AT1G50890.1
F4I6P0	AT1G64255.1
F4I6P4	AT1G64295.1
F4I6Q0	AT1G64340.1
F4I6S6	AT1G64570.1
F4I6U7	AT1G70620.3
F4I6V0	AT1G70630.7
F4I6V2	AT1G70650.2
F4I6Z0	AT1G70870.1
F4I700	AT1G77310.1
F4I704	AT1G77340.1
F4I718	AT1G77460.4
F4I735	AT1G77600.2
F4I764	AT1G04930.2
F4I765	AT1G04945.3
F4I792	AT1G05085.1
F4I793	AT1G05090.1
F4I7C7	AT1G11060.1
F4I7D2	AT1G11100.2
F4I7D4	AT1G11110.1
F4I7D7	AT1G11120.2
F4I7D8	AT1G11125.1
F4I7E0	AT1G11145.1
F4I7E7	AT1G11200.1
F4I7I0	AT1G17290.1
F4I7J9	AT1G17450.2
F4I7K3	AT1G17460.2
F4I7L1	AT1G17520.1
F4I7L4	AT1G17545.1
F4I7N5	AT1G23890.2
F4I7P0	AT1G23935.1
F4I7R5	AT1G24090.1
F4I7U4	AT1G30974.1
F4I7U9	AT1G31040.1
F4I7W1	AT1G31163.1
F4I7W9	AT1G40390.1
F4I7X1	AT1G41830.1
F4I7X4	AT1G41920.1
F4I7Y2	AT1G50970.1
F4I7Y4	AT1G50990.1
F4I7Y5	AT1G51000.1
F4I7Y6	AT1G51010.1
F4I7Y8	AT1G51030.1
F4I7Y9	AT1G51035.1
F4I7Z1	AT1G51055.1
F4I806	AT1G51172.1
F4I824	AT1G51310.1
F4I826	AT1G51330.1
F4I837	AT1G57570.1
F4I839	AT1G57590.1
F4I844	AT1G57613.1
F4I847	AT1G57650.1
F4I854	AT1G57700.1
F4I871	AT1G57830.1
F4I878	AT1G64690.3
F4I893	AT1G64790.2
F4I8B9	AT1G65010.1
F4I8C2	AT1G65032.1
F4I8D6	AT1G71000.1
F4I8E9	AT1G71110.1
F4I8F9	AT1G71200.1
F4I8G4	AT1G71235.1
F4I8H8	AT1G71340.1
F4I8I0	AT1G71360.2
F4I8K1	AT1G77855.1
F4I8K2	AT1G77860.1
F4I8L6	AT1G77950.4
F4I8M5	AT1G78030.1
F4I8M8	AT1G78050.1
F4I8P5	AT1G05280.1
F4I8Q1	AT1G05320.9
F4I8Q7	AT1G05360.1
F4I8Q8	AT1G05370.1
F4I8R6	AT1G05420.2
F4I8S3	AT1G05490.1
F4I8U2	AT1G05610.1
F4I8U3	AT1G05615.1
F4I8V6	AT1G11390.1
F4I8W1	AT1G11420.1
F4I8W6	AT1G11460.1
F4I8W7	AT1G11470.1
F4I8X6	AT1G11540.2
F4I8X8	AT1G11560.1
F4I8X9	AT1G11570.3
F4I8Y4	AT1G11593.1
F4I8Y6	AT1G11608.1
F4I901	AT1G17600.1
F4I902	AT1G17610.2
F4I906	AT1G17640.3
F4I907	AT1G17650.1
F4I908	AT1G17665.1
F4I924	AT1G17780.6
F4I933	AT1G17850.2
F4I954	AT1G24148.1
F4I957	AT1G24159.1
F4I964	AT1G24200.1
F4I970	AT1G24256.1
F4I974	AT1G24265.3
F4I978	AT1G24267.2
F4I983	AT1G24300.1
F4I994	AT1G24390.1
F4I9A2	AT1G24460.1
F4I9B6	AT1G31270.1
F4I9C1	AT1G31310.1
F4I9E1	AT1G31470.1
F4I9F1	AT1G31540.2
F4I9G2	AT1G42430.1
F4I9G5	AT1G42470.1
F4I9G7	AT1G42480.3
F4I9G9	AT1G42525.1
F4I9H4	AT1G42680.1
F4I9I5	AT1G51402.1
F4I9I6	AT1G51405.1
F4I9I9	AT1G51430.1
F4I9J7	AT1G51510.1
F4I9J8	AT1G51520.2
F4I9K0	AT1G51530.2
F4I9K2	AT1G51538.1
F4I9M9	AT1G51720.3
F4I9N5	AT1G57850.1
F4I9P7	AT1G58025.2
F4I9Q5	AT1G58060.1
F4I9R1	AT1G58110.2
F4I9R6	AT1G58160.1
F4I9S3	AT1G58190.1
F4I9T0	AT1G58230.1
F4I9U3	AT1G65090.2
F4I9U7	AT1G65120.2
F4I9U9	AT1G65130.1
F4I9V0	AT1G65140.1
F4I9V3	AT1G65160.1
F4I9V4	AT1G65170.1
F4I9V7	AT1G65200.1
F4I9X5	AT1G65342.1
F4I9X6	AT1G65350.1
F4I9X7	AT1G65346.1
F4IA25	AT1G71750.2
F4IA30	AT1G71780.1
F4IA59	AT1G78220.1
F4IA60	AT1G78230.1
F4IA73	AT1G78360.1
F4IA77	AT1G78400.1
F4IA86	AT1G78476.1
F4IA92	AT1G78520.1
F4IAD5	AT1G05840.1
F4IAE9	AT1G05910.1
F4IAF4	AT1G05950.1
F4IAF6	AT1G05960.2
F4IAG2	AT1G11720.1
F4IAG4	AT1G11740.1
F4IAL1	AT1G11990.1
F4IAL8	AT1G18050.1
F4IAM4	AT1G18090.2
F4IAM7	AT1G18130.1
F4IAN2	AT1G18160.1
F4IAQ0	AT1G18310.1
F4IAR2	AT1G18410.1
F4IAT2	AT1G24706.2
F4IAT5	AT1G24735.1
F4IAT8	AT1G25210.2
F4IAW1	AT1G25210.2
F4IAX0	AT1G31690.1
F4IAX1	AT1G31710.1
F4IB23	AT1G43005.1
F4IB35	AT1G43145.1
F4IB51	AT1G43260.1
F4IB52	AT1G43310.1
F4IB54	AT1G43330.1
F4IB55	AT1G43415.1
F4IB60	AT1G51790.3
F4IB63	AT1G51805.1
F4IB68	AT1G51840.5
F4IB75	AT1G51900.1
F4IB76	AT1G51910.1
F4IB79	AT1G51920.1
F4IB81	AT1G51940.1
F4IB88	AT1G51990.2
F4IB94	AT1G52050.1
F4IB95	AT1G52060.1
F4IBA0	AT1G52110.1
F4IBA7	AT1G52155.1
F4IBB2	AT1G58280.2
F4IBD7	AT1G58520.7
F4IBE4	AT1G59124.2
F4IBF0	AT1G59406.1
F4IBG4	AT1G65481.1
F4IBH5	AT1G65540.3
F4IBH8	AT1G65560.1
F4IBJ3	AT1G65681.1
F4IBK4	AT1G65780.1
F4IBK8	AT1G65810.1
F4IBL4	AT1G65850.2
F4IBM1	AT1G71940.2
F4IBN6	AT1G72070.1
F4IBQ3	AT1G72190.1
F4IBQ9	AT1G72250.2
F4IBR2	AT1G72270.1
F4IBU4	AT1G78740.1
F4IBV1	AT1G78780.5
F4IBV4	AT1G78800.1
F4IBX5	AT1G78915.3
F4IBX8	AT1G78922.1
F4IBY8	AT1G06050.1
F4IBZ9	AT1G06137.1
F4IC04	AT1G06148.2
F4IC29	AT1G06330.1
F4IC43	AT1G12100.1
F4IC62	AT1G12244.1
F4IC79	AT1G12380.1
F4ICA0	AT1G18550.1
F4ICA1	AT1G18560.1
F4ICB5	AT1G18660.4
F4ICB6	AT1G18670.1
F4ICD9	AT1G18830.1
F4ICE8	AT1G25275.2
F4ICF4	AT1G25290.1
F4ICH9	AT1G25460.1
F4ICJ5	AT1G25570.1
F4ICK6	AT1G32120.1
F4ICK8	AT1G32130.1
F4ICM0	AT1G32225.1
F4ICN4	AT1G32337.1
F4ICS1	AT1G43680.1
F4ICS5	AT1G43720.1
F4ICS6	AT1G43722.1
F4ICS7	AT1G43730.1
F4ICS8	AT1G43760.1
F4ICV8	AT1G52315.1
F4ICW3	AT1G52325.1
F4ICW8	AT1G52343.1
F4ICX5	AT1G52390.1
F4ICX9	AT1G52410.2
F4ICZ4	AT1G52510.1
F4ID12	AT1G59630.1
F4ID16	AT1G59660.1
F4ID20	AT1G59690.1
F4ID24	AT1G59722.1
F4ID46	AT1G59865.1
F4ID59	AT1G65950.1
F4ID71	AT1G66045.1
F4ID96	AT1G66235.1
F4IDB2	AT1G72390.2
F4IDB4	AT1G72410.1
F4IDC0	AT1G72420.2
F4IDC2	AT1G72440.1
F4IDC8	AT1G72500.1
F4IDE6	AT1G72620.1
F4IDF1	AT1G72650.2
F4IDG2	AT1G78940.2
F4IDH0	AT1G78990.1
F4IDH6	AT1G79030.1
F4IDI5	AT1G79100.1
F4IDI6	AT1G79110.1
F4IDJ0	AT1G79150.1
F4IDJ2	AT1G79170.1
F4IDQ5	AT1G06660.1
F4IDQ6	AT1G06670.1
F4IDR5	AT1G06750.2
F4IDS7	AT1G12470.1
F4IDS9	AT1G12490.1
F4IDU4	AT1G12640.1
F4IDU9	AT1G12660.1
F4IDV2	AT1G12672.2
F4IDW9	AT1G12790.1
F4IDX2	AT1G12810.2
F4IDY5	AT1G18910.1
F4IDY7	AT1G18950.1
F4IDZ7	AT1G19025.1
F4IE14	AT1G19140.2
F4IE17	AT1G19170.1
F4IE21	AT1G19200.2
F4IE28	AT1G19260.1
F4IE40	AT1G26170.1
F4IE43	AT1G26200.1
F4IE60	AT1G26330.2
F4IE65	AT1G26360.1
F4IE66	AT1G26370.1
F4IEB6	AT1G32700.1
F4IED2	AT1G32870.3
F4IED7	AT1G43970.1
F4IEE1	AT1G44020.1
F4IEH1	AT1G44740.1
F4IEK5	AT1G52750.1
F4IEK8	AT1G52780.1
F4IEL6	AT1G52857.1
F4IEM5	AT1G52920.1
F4IEM6	AT1G59885.1
F4IER8	AT1G60320.1
F4IEY4	AT1G72740.1
F4IEZ7	AT1G72840.3
F4IF04	AT1G72890.2
F4IF29	AT1G73090.2
F4IF36	AT1G79350.1
F4IF38	AT1G79370.1
F4IF81	AT1G79640.1
F4IF99	AT2G04560.1
F4IFA4	AT2G04650.1
F4IFA9	AT2G04690.3
F4IFB6	AT2G04790.14
F4IFC5	AT2G04842.2
F4IFD0	AT2G04865.2
F4IFD7	AT2G04910.2
F4IFE3	AT2G13895.1
F4IFF3	AT2G14050.2
F4IFF4	AT2G14060.1
F4IFH3	AT2G14270.1
F4IFM0	AT2G20950.4
F4IFM3	AT2G20970.2
F4IFM9	AT2G21010.1
F4IFN0	AT2G21030.1
F4IFN6	AT2G27120.1
F4IFT4	AT2G27385.3
F4IFT7	AT2G27389.1
F4IFV5	AT2G33585.1
F4IFY5	AT2G33793.2
F4IFY6	AT2G33796.1
F4IG09	AT2G39850.1
F4IG33	AT2G40004.1
F4IG46	AT2G40085.1
F4IG49	AT2G45380.1
F4IG52	AT2G45403.1
F4IG53	AT2G45406.1
F4IG60	AT2G45450.1
F4IG63	AT2G45460.3
F4IG73	AT2G45540.2
F4IG99	AT2G05050.1
F4IGA5	AT2G05120.2
F4IGF6	AT2G14680.2
F4IGH3	AT2G21070.3
F4IGK0	AT2G21235.1
F4IGL2	AT2G21300.5
F4IGM0	AT2G21350.1
F4IGN8	AT2G27505.1
F4IGQ2	AT2G27630.1
F4IGQ3	AT2G27650.1
F4IGQ5	AT2G27670.1
F4IGQ9	AT2G27700.2
F4IGS5	AT2G27790.2
F4IGU3	AT2G34010.1
F4IGU5	AT2G34030.1
F4IGW7	AT2G34185.2
F4IGX9	AT2G34240.1
F4IGZ2	AT2G40130.2
F4IH21	AT2G40320.1
F4IH25	AT2G40360.1
F4IH31	AT2G40410.2
F4IH50	AT2G45830.4
F4IH52	AT2G45840.1
F4IHC3	AT2G05635.2
F4IHC4	AT2G05642.1
F4IHC8	AT2G05752.1
F4IHD0	AT2G05753.1
F4IHD3	AT2G05790.1
F4IHD4	AT2G14800.1
F4IHD7	AT2G14830.1
F4IHD8	AT2G14825.1
F4IHH0	AT2G15110.1
F4IHJ0	AT2G21520.1
F4IHL3	AT2G21710.1
F4IHN6	AT2G27950.3
F4IHN9	AT2G27980.1
F4IHR4	AT2G28210.1
F4IHR5	AT2G28220.1
F4IHS2	AT2G28290.1
F4IHS9	AT2G28315.1
F4IHT0	AT2G28320.1
F4IHU8	AT2G34357.1
F4IHU9	AT2G34360.1
F4IHX8	AT2G34580.2
F4IHY7	AT2G34640.1
F4II26	AT2G40710.1
F4II29	AT2G40730.1
F4II36	AT2G40770.3
F4II37	AT2G40780.1
F4II66	AT2G46290.1
F4II70	AT2G46320.1
F4IIA9	AT2G05915.1
F4IIC2	AT2G06040.1
F4IIC7	AT2G06095.1
F4IID3	AT2G15185.1
F4IIE7	AT2G15327.1
F4IIG2	AT2G15470.1
F4III1	AT2G21850.1
F4IIK6	AT2G22040.1
F4IIL3	AT2G22088.1
F4IIM1	AT2G22125.1
F4IIN7	AT2G28360.1
F4IIQ1	AT2G28460.1
F4IIS5	AT2G28620.1
F4IIS6	AT2G28625.1
F4IIS8	AT2G28640.1
F4IIT6	AT2G28700.1
F4IIU2	AT2G34670.2
F4IIU4	AT2G34680.2
F4IIV5	AT2G34780.1
F4IIZ5	AT2G35075.1
F4IIZ9	AT2G40820.4
F4IJ08	AT2G40900.1
F4IJ68	AT2G46560.1
F4IJ77	AT2G46620.1
F4IJ79	AT2G46640.3
F4IJA3	AT2G06420.1
F4IJB0	AT2G06541.1
F4IJB1	AT2G06555.1
F4IJB6	AT2G06845.1
F4IJB8	AT2G15610.1
F4IJE1	AT2G15900.1
F4IJF0	AT2G16015.1
